City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,ulsteinvik,62.3432,5.8487,277.77,76,0,3.58,NO,1697682683
281,tokar,18.4254,37.729,302.31,67,100,4.64,SD,1697682948
282,weligama,5.9667,80.4167,297.46,91,100,1.0,LK,1697682948
283,fuglafjordur,62.244,-6.814,282.41,86,88,13.87,FO,1697682949
284,kailua-kona,19.6406,-155.9956,301.13,81,40,4.63,US,1697682445
285,new norfolk,-42.7826,147.0587,294.1,23,100,1.79,AU,1697682622
286,port elizabeth,-33.918,25.5701,289.31,96,75,1.03,ZA,1697682628
287,alofi,-19.0595,-169.9187,299.09,53,40,8.75,NU,1697682949
288,vila velha,-20.3297,-40.2925,296.12,83,75,5.14,BR,1697682949
289,guane,22.2025,-84.0875,295.09,78,100,3.23,CU,1697682949
290,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,88,0,6.0,RU,1697682651
291,broome,42.2506,-75.833,283.36,85,100,1.54,US,1697682950
292,punta arenas,-53.15,-70.9167,285.21,58,0,8.23,CL,1697682644
293,cancun,21.1743,-86.8466,297.11,69,40,2.06,MX,1697682428
294,fort bragg,35.139,-79.006,285.26,91,0,0.0,US,1697682950
295,afaahiti,-17.75,-149.2833,298.08,82,87,6.87,PF,1697682649
296,ingeniero guillermo n. juarez,-23.9,-61.85,291.84,82,75,4.07,AR,1697682950
297,wailua homesteads,22.0669,-159.378,303.39,64,0,4.63,US,1697682622
298,vorkuta,67.5,64.0,273.56,79,100,6.41,RU,1697682950
299,kisangani,0.5167,25.2,294.89,99,100,1.5,CD,1697682950
300,ola,59.5833,151.2833,274.9,32,14,1.62,RU,1697682643
301,alo,7.4178,6.7371,297.09,97,100,1.65,NG,1697682658
302,beaucaire,43.8081,4.6442,294.16,91,100,2.57,FR,1697682951
303,fiambala,-27.6871,-67.6149,288.13,45,0,1.59,AR,1697682951
304,tralee,52.2704,-9.7026,285.32,95,100,2.86,IE,1697682951
305,qui nhon,13.7667,109.2333,302.05,73,64,1.08,VN,1697682951
306,san luis jilotepeque,14.65,-89.7333,291.35,96,94,1.82,GT,1697682951
307,hueytown,33.4512,-86.9967,290.27,75,0,2.06,US,1697682951
308,uturoa,-16.7333,-151.4333,299.44,79,84,4.73,PF,1697682640
309,turbat,26.0023,63.044,298.24,80,58,1.51,PK,1697682952
310,la ronge,55.1001,-105.2842,283.29,81,100,4.63,CA,1697682952
311,sorsk,54.0033,90.2467,278.74,93,99,3.19,RU,1697682643
312,ballina,-28.8667,153.5667,295.81,51,24,5.2,AU,1697682952
313,tahoua,14.8888,5.2692,302.11,15,100,4.5,NE,1697682952
314,dedovichi,57.5517,29.9502,274.45,91,100,2.52,RU,1697682952
315,shanwei,22.782,115.3475,298.91,79,100,4.48,CN,1697682952
316,ko lanta,7.5336,99.0865,301.18,76,67,3.07,TH,1697682953
317,bijapur,16.8333,75.7,299.39,54,6,4.2,IN,1697682953
318,amungan,15.3652,119.9582,303.73,64,77,2.13,PH,1697682953
319,sucua,-2.4667,-78.1667,292.32,96,25,1.72,EC,1697682736
320,okha,53.5739,142.9478,280.47,94,100,5.6,RU,1697682720
321,san luis,-33.295,-66.3356,282.88,76,4,2.52,AR,1697682953
322,belmonte,-15.8631,-38.8828,296.19,77,74,3.25,BR,1697682953
323,badou,7.5833,0.6,296.09,93,73,0.53,TG,1697682953
324,kosh-agach,50.0,88.6667,275.54,67,0,0.89,RU,1697682953
325,campos belos,-13.0367,-46.7717,298.53,28,5,1.54,BR,1697682954
326,jijel,36.8205,5.7667,294.12,60,0,2.06,DZ,1697682704
327,kontcha,7.9667,12.2333,295.59,83,100,1.26,CM,1697682954
328,boda,4.3189,17.4695,293.79,97,100,1.23,CF,1697682954
329,pariaman,-0.619,100.12,300.18,73,92,1.66,ID,1697682954
330,rio viejo,8.5874,-73.839,297.96,94,59,0.97,CO,1697682954
331,nguti,5.3299,9.4185,295.53,97,98,0.86,CM,1697682954
332,guerrero negro,27.9769,-114.0611,293.88,84,6,5.3,MX,1697682715
333,san juan de miraflores,-12.1629,-76.9635,293.24,82,89,3.11,PE,1697682955
334,buka,40.8108,69.1986,290.96,47,77,0.54,UZ,1697682955
335,baoding,38.8511,115.4903,293.37,22,100,0.73,CN,1697682955
336,arraial do cabo,-22.9661,-42.0278,295.07,83,75,2.57,BR,1697682955
337,palmer,42.1584,-72.3287,285.66,83,75,0.0,US,1697682631
338,casablanca,33.5928,-7.6192,295.0,88,97,2.68,MA,1697682955
339,nelson bay,-32.7167,152.15,295.42,54,7,1.79,AU,1697682956
340,mariental,-24.6333,17.9667,293.12,23,0,4.82,NA,1697682956
341,suntar,62.1444,117.6319,263.79,91,11,2.68,RU,1697682637
342,al jawf,29.5,38.75,290.08,73,0,3.47,SA,1697682956
343,le port,-20.9373,55.2919,298.15,96,79,3.32,RE,1697682956
344,brokopondo,4.75,-55.1667,300.03,78,100,2.62,SR,1697682956
345,orda,57.1951,56.9091,276.68,78,100,8.12,RU,1697682956
346,hasaki,35.7333,140.8333,298.31,59,86,7.57,JP,1697682404
347,obigarm,38.7173,69.7088,285.46,47,35,2.09,TJ,1697682956
348,villeneuve-sur-lot,44.5,0.6667,289.12,92,100,3.22,FR,1697682957
349,mana,5.6592,-53.7767,299.42,83,100,4.0,GF,1697682710
